ratio0,plate,carbon_id,A590,A750
all,3,45,0.314,0.225
all,3,46,0.35,0.281
all,3,47,0.703,0.343
all,3,48,0.539,0.29
all,3,49,0.561,0.334
all,3,50,0.609,0.282
all,3,51,0.403,0.209
all,3,52,0.388,0.273
all,3,53,0.248,0.207
all,3,54,0.319,0.246
all,3,55,0.234,0.195
all,3,56,0.345,0.256
all,3,57,0.26,0.207
all,3,58,0.435,0.23
all,3,59,0.239,0.198
all,3,60,0.297,0.233
all,3,61,0.25,0.206
all,3,62,0.243,0.2
all,3,63,0.231,0.195
all,3,64,0.343,0.295
all,3,65,0.282,0.234
all,3,66,0.307,0.246
all,3,67,0.277,0.238
all,3,68,0.239,0.209
all,3,69,0.295,0.235
all,3,70,0.249,0.215
all,3,71,0.477,0.286
all,3,72,0.251,0.211
none,3,1,0.277,0.214
none,3,2,0.29,0.219
none,3,3,0.301,0.232
none,3,4,0.288,0.215
none,3,5,0.284,0.21
none,3,6,0.272,0.197
none,3,7,0.264,0.195
none,3,8,0.287,0.211
none,3,9,0.306,0.225
none,3,10,0.301,0.231
none,3,11,0.282,0.211
none,3,12,0.271,0.201
none,3,13,0.313,0.236
none,3,14,0.263,0.194
none,3,15,0.272,0.201
none,3,16,0.27,0.199
none,3,17,0.238,0.177
none,3,18,0.251,0.186
none,3,19,1.673,1.322
none,3,20,1.159,0.669
none,3,21,0.548,0.319
none,3,22,0.326,0.206
none,3,23,0.287,0.207
none,3,24,0.403,0.197
none,3,25,0.32,0.185
none,3,26,0.251,0.17
none,3,27,0.426,0.311
none,3,28,0.288,0.218
none,3,29,0.274,0.204
none,3,30,0.281,0.209
none,3,31,0.281,0.208
none,3,32,0.855,0.603
none,3,33,0.267,0.195
none,3,34,0.487,0.203
none,3,35,0.245,0.184
none,3,36,0.24,0.189
none,3,37,0.254,0.202
none,3,38,0.325,0.255
none,3,39,1.386,0.844
none,3,40,0.903,0.525
none,3,41,1.279,0.781
none,3,42,1.414,0.841
none,3,43,1.093,0.602
none,3,44,1.026,0.562
none,3,45,0.429,0.309
none,3,46,0.315,0.244
none,3,47,1.369,0.737
none,3,48,0.47,0.302
none,3,49,0.814,0.51
none,3,50,1.474,0.773
none,3,51,0.553,0.195
none,3,52,1.095,0.614
none,3,53,0.923,0.604
none,3,54,0.617,0.33
none,3,55,0.283,0.21
none,3,56,0.483,0.359
none,3,57,0.311,0.231
none,3,58,1.066,0.674
none,3,59,0.945,0.531
none,3,60,0.528,0.386
none,3,61,0.268,0.208
none,3,62,1.241,0.634
none,3,63,0.364,0.271
none,3,64,0.378,0.308
none,3,65,1.624,1.081
none,3,66,0.28,0.232
none,3,67,0.563,0.434
none,3,68,0.255,0.21
none,3,69,0.343,0.265
none,3,70,0.564,0.411
none,3,71,0.507,0.374
none,3,72,0.304,0.233
