ratio0,plate,carbon_id,A590,A750
equal,3,42,0.848,0.52
equal,3,43,1.394,0.775
equal,3,44,1.038,0.508
equal,3,45,0.54,0.309
equal,3,46,0.222,0.158
equal,3,47,1.498,0.642
equal,3,48,1.222,0.418
equal,3,49,1.813,0.9
equal,3,50,1.389,0.536
equal,3,51,0.729,0.129
equal,3,52,1.355,0.766
equal,3,53,0.974,0.476
equal,3,54,0.923,0.523
equal,3,55,0.18,0.131
equal,3,56,0.512,0.362
equal,3,57,0.227,0.162
equal,3,58,1.402,0.907
equal,3,59,0.561,0.225
equal,3,60,0.467,0.311
equal,3,61,0.211,0.152
equal,3,62,1.201,0.623
equal,3,63,0.378,0.279
equal,3,64,0.223,0.144
equal,3,65,1.441,0.918
equal,3,66,0.279,0.197
equal,3,67,0.827,0.58
equal,3,68,0.277,0.172
equal,3,69,0.253,0.169
equal,3,70,0.837,0.465
equal,3,71,0.658,0.374
equal,3,72,0.33,0.213
more,1,1,0.365,0.27
more,1,2,0.558,0.287
more,1,3,1.737,0.797
more,1,4,1.069,0.681
more,1,5,0.311,0.23
more,1,6,0.454,0.267
more,1,7,0.324,0.239
more,1,8,0.324,0.227
more,1,9,0.321,0.237
more,1,10,0.314,0.236
more,1,11,0.322,0.238
more,1,12,0.821,0.448
more,1,13,0.344,0.24
more,1,14,0.272,0.204
more,1,15,2.237,1.329
more,1,16,0.449,0.282
more,1,17,0.288,0.216
more,1,18,1.365,0.827
more,1,19,1.004,0.58
more,1,20,1.306,0.837
more,1,21,1.428,0.883
more,1,22,0.988,0.479
more,1,23,0.348,0.21
more,1,24,0.542,0.204
more,1,25,1.446,0.775
more,1,26,0.919,0.516
more,1,27,1.208,0.74
more,1,28,0.879,0.529
more,1,29,1.257,0.882
more,1,30,0.292,0.216
more,1,31,0.264,0.197
more,1,32,0.575,0.336
more,1,33,0.83,0.443
more,1,34,1.045,0.428
more,1,35,0.24,0.186
more,1,36,1.121,0.676
more,1,37,0.251,0.188
more,1,38,0.352,0.241
more,1,39,1.11,0.602
more,1,40,0.945,0.556
more,1,41,1.281,0.869
more,1,42,1.076,0.657
more,1,43,1.219,0.761
more,1,44,0.99,0.623
more,1,45,0.555,0.322
more,1,46,0.297,0.22
more,1,47,1.261,0.607
more,1,48,1.211,0.667
more,1,49,1.029,0.647
more,1,50,1.218,0.574
more,1,51,0.699,0.186
more,1,52,1.363,0.851
more,1,53,1.038,0.615
more,1,54,0.76,0.399
more,1,55,0.31,0.229
more,1,56,0.573,0.412
more,1,57,0.3,0.222
more,1,58,1.22,0.792
more,1,59,1.119,0.669
more,1,60,0.43,0.296
more,1,61,0.267,0.204
more,1,62,1.216,0.801
more,1,63,0.512,0.374
more,1,64,0.346,0.227
more,1,65,1.236,0.751
more,1,66,0.307,0.23
more,1,67,0.616,0.435
more,1,68,0.236,0.172
more,1,69,0.4,0.268
more,1,70,0.807,0.545
more,1,71,0.663,0.415
more,1,72,0.422,0.273
more,2,1,0.265,0.199
more,2,2,0.452,0.233
more,2,3,1.728,0.787
more,2,4,1.024,0.642
more,2,5,0.292,0.216
more,2,6,0.395,0.224
more,2,7,0.275,0.205
more,2,8,0.289,0.215
more,2,9,0.282,0.211
more,2,10,0.286,0.213
more,2,11,0.268,0.201
more,2,12,0.852,0.467
more,2,13,0.325,0.228
more,2,14,0.276,0.209
more,2,15,1.911,0.948
more,2,16,0.386,0.252
more,2,17,0.279,0.209
more,2,18,1.374,0.783
more,2,19,1.135,0.527
more,2,20,0.946,0.5
more,2,21,1.546,0.962
more,2,22,0.851,0.385
more,2,23,0.313,0.191
more,2,24,0.535,0.205
more,2,25,1.175,0.576
more,2,26,0.813,0.417
more,2,27,1.266,0.768
more,2,28,0.805,0.469
more,2,29,1.133,0.764
more,2,30,0.277,0.205
more,2,31,0.26,0.194
more,2,32,0.71,0.432
more,2,33,0.882,0.483
more,2,34,1.017,0.408
more,2,35,0.23,0.178
more,2,36,0.902,0.492
more,2,37,0.248,0.188
more,2,38,0.359,0.249
more,2,39,1.365,0.816
more,2,40,0.911,0.524
more,2,41,1.219,0.804
more,2,42,0.881,0.481
more,2,43,1.32,0.804
more,2,44,1.293,0.866
more,2,45,0.493,0.285
more,2,46,0.29,0.215
more,2,47,1.289,0.617
more,2,48,1.131,0.575
more,2,49,1.017,0.629
more,2,50,1.204,0.556
more,2,51,0.655,0.176
more,2,52,1.328,0.793
more,2,53,0.974,0.56
more,2,54,1.042,0.602
more,2,55,0.262,0.199
more,2,56,0.459,0.337
more,2,57,0.285,0.214
more,2,58,1.19,0.749
more,2,59,1.074,0.637
more,2,60,0.419,0.291
more,2,61,0.25,0.19
more,2,62,0.7,0.325
more,2,63,0.46,0.336
more,2,64,0.414,0.275
more,2,65,1.27,0.859
more,2,66,0.286,0.206
more,2,67,0.572,0.398
more,2,68,0.236,0.173
more,2,69,0.401,0.279
more,2,70,0.636,0.422
more,2,71,0.796,0.509
more,2,72,0.384,0.262
more,3,1,0.331,0.243
more,3,2,0.483,0.239
more,3,3,1.775,0.829
more,3,4,1.035,0.657
more,3,5,0.283,0.211
more,3,6,0.377,0.216
more,3,7,0.26,0.196
more,3,8,0.291,0.211
more,3,9,0.258,0.194
more,3,10,0.302,0.224
more,3,11,0.307,0.227
more,3,12,0.681,0.344
more,3,13,0.376,0.253
