Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 09:16,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 32 / 6 / 58,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.325,0.324,0.326,0.312,0.339,0.323,0.335,0.347,0.319,2.198,2.294,2.006
0.337,0.334,0.336,0.345,0.323,0.351,0.336,0.341,0.323,2.008,1.764,0.35
1.348,0.472,0.44,0.402,0.353,0.46,0.409,0.345,0.385,2.203,0.365,0.272
0.31,0.322,0.348,0.341,0.47,0.338,0.534,0.312,0.248,1.47,2.033,0.177
0.308,0.339,1.219,0.567,0.828,1.126,0.979,0.885,0.438,2.066,1.69,2.153
0.35,1.115,0.566,0.859,1.043,0.634,1.252,0.792,0.729,2.185,2.109,3.169
0.332,0.505,0.347,1.157,0.878,0.466,0.321,0.982,0.422,0.246,0.883,0.522
0.456,1.425,0.336,0.583,0.277,0.382,0.57,0.466,0.323,0.422,0.215,1.227
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.259,0.26,0.264,0.251,0.27,0.252,0.268,0.275,0.256,1.224,1.326,1.377
0.269,0.27,0.269,0.278,0.261,0.281,0.269,0.272,0.26,1.25,1.252,0.267
1.109,0.314,0.297,0.274,0.28,0.277,0.264,0.269,0.304,1.286,0.278,0.16
0.249,0.262,0.279,0.276,0.369,0.27,0.277,0.255,0.21,0.79,1.107,0.141
0.251,0.278,0.911,0.436,0.621,0.824,0.628,0.661,0.348,1.116,1.019,1.189
0.279,0.651,0.396,0.669,0.556,0.253,0.822,0.542,0.481,1.197,1.146,1.733
0.264,0.394,0.278,0.934,0.599,0.359,0.263,0.702,0.334,0.197,0.451,0.298
0.357,1.156,0.276,0.46,0.234,0.304,0.444,0.367,0.265,0.256,0.164,0.959
