Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 01:15,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 34 / 0 / 62,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.187,0.217,0.211,0.216,0.232,0.226,0.232,0.237,0.233,1.345,1.236,0.771
0.209,0.216,0.21,0.245,0.213,0.222,0.235,0.223,0.22,1.094,0.596,0.21
0.648,0.259,0.258,0.245,0.211,0.278,0.29,0.235,0.246,1.494,0.189,0.203
0.207,0.212,0.206,0.214,0.273,0.246,0.44,0.208,0.178,0.837,1.092,0.136
0.197,0.218,0.487,0.236,0.418,0.511,0.39,0.494,0.313,1.229,1.038,1.337
0.242,0.4,0.34,0.433,0.481,0.474,0.751,0.646,0.423,1.213,1.301,0.986
0.229,0.274,0.216,0.427,0.42,0.351,0.257,0.655,0.332,0.155,0.572,0.326
0.234,0.455,0.202,0.242,0.198,0.267,0.225,0.299,0.241,0.311,0.159,0.628
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.147,0.167,0.164,0.167,0.18,0.173,0.182,0.185,0.184,0.875,0.849,0.551
0.163,0.168,0.163,0.189,0.166,0.173,0.183,0.175,0.173,0.716,0.428,0.171
0.464,0.191,0.182,0.166,0.162,0.172,0.175,0.175,0.191,0.939,0.147,0.148
0.162,0.165,0.16,0.165,0.212,0.196,0.193,0.163,0.144,0.541,0.718,0.106
0.154,0.17,0.369,0.185,0.325,0.397,0.312,0.396,0.256,0.79,0.672,0.851
0.185,0.192,0.239,0.337,0.241,0.204,0.583,0.496,0.342,0.8,0.838,0.61
0.173,0.213,0.168,0.329,0.332,0.272,0.212,0.484,0.263,0.114,0.45,0.218
0.186,0.338,0.159,0.19,0.158,0.211,0.184,0.238,0.196,0.204,0.128,0.483
