Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 01:17,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 22 / 11 / 63,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.288,0.324,0.333,0.295,0.32,0.316,0.328,0.322,0.31,1.448,1.421,0.554
0.326,0.323,0.329,0.326,0.317,0.333,0.331,0.322,0.323,1.249,0.655,0.208
0.708,0.354,0.356,0.37,0.331,0.406,0.408,0.326,0.328,1.404,0.252,0.244
0.301,0.307,0.334,0.324,0.375,0.33,0.52,0.312,0.269,0.921,1.064,0.182
0.31,0.345,0.592,0.35,0.519,0.632,0.49,0.48,0.371,1.286,0.896,0.829
0.353,0.502,0.405,0.558,0.539,0.578,0.862,0.601,0.612,1.455,1.319,1.07
0.316,0.404,0.329,0.641,0.457,0.411,0.324,0.635,0.415,0.248,0.44,0.363
0.41,0.645,0.301,0.414,0.286,0.371,0.319,0.369,0.314,0.372,0.211,0.483
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.24,0.273,0.281,0.249,0.268,0.261,0.274,0.269,0.262,0.988,1.014,0.448
0.274,0.274,0.276,0.276,0.267,0.278,0.276,0.269,0.27,0.906,0.491,0.175
0.534,0.289,0.283,0.278,0.276,0.285,0.281,0.264,0.273,0.945,0.214,0.17
0.254,0.264,0.283,0.275,0.321,0.281,0.299,0.268,0.235,0.638,0.722,0.151
0.264,0.294,0.47,0.296,0.425,0.5,0.4,0.394,0.311,0.847,0.589,0.557
0.293,0.298,0.311,0.446,0.303,0.264,0.679,0.452,0.5,0.971,0.865,0.656
0.263,0.333,0.278,0.504,0.373,0.334,0.275,0.505,0.34,0.207,0.354,0.258
0.336,0.494,0.26,0.346,0.247,0.309,0.271,0.306,0.266,0.269,0.178,0.378
