Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 8ÔÂ 31 2018 01:36,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 19 / 1 / 76,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.272,0.298,0.259,0.228,0.223,0.278,0.254,0.214,0.249,1.343,1.134,0.689
0.225,0.218,0.223,0.218,0.22,0.229,0.227,0.223,0.216,1.325,0.234,0.205
0.584,0.273,0.305,0.256,0.235,0.269,0.284,0.22,0.209,1.441,0.183,0.27
0.236,0.214,0.235,0.22,0.298,0.225,0.365,0.212,0.189,0.951,1.349,0.141
0.216,0.262,0.369,0.301,0.413,0.367,0.332,0.379,0.255,1.313,0.833,0.913
0.27,0.391,0.431,0.464,0.383,0.43,0.765,0.641,0.46,1.438,1.969,1.013
0.312,0.411,0.266,0.583,0.518,0.354,0.234,0.444,0.379,0.179,0.273,0.282
0.356,0.739,0.219,0.398,0.214,0.301,0.282,0.351,0.315,0.381,0.138,0.196
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.206,0.218,0.199,0.176,0.172,0.198,0.195,0.165,0.192,0.922,0.794,0.513
0.174,0.169,0.168,0.169,0.171,0.177,0.175,0.173,0.168,0.981,0.161,0.165
0.42,0.189,0.197,0.171,0.174,0.159,0.163,0.156,0.162,1.017,0.133,0.156
0.184,0.166,0.18,0.171,0.229,0.173,0.177,0.165,0.151,0.606,0.92,0.105
0.168,0.203,0.279,0.234,0.315,0.28,0.254,0.285,0.197,0.885,0.546,0.623
0.204,0.233,0.267,0.347,0.214,0.161,0.58,0.443,0.347,0.949,1.003,0.586
0.239,0.314,0.205,0.427,0.393,0.264,0.181,0.334,0.285,0.126,0.17,0.192
0.275,0.529,0.173,0.305,0.167,0.236,0.217,0.267,0.239,0.241,0.107,0.157
