Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 28 2018 21:22,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 29 / 31 / 36,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.168,0.183,0.198,0.214,0.198,0.244,0.202,0.212,0.232,0.313,0.319,0.244
0.202,0.171,0.183,0.225,0.22,0.26,0.212,0.225,0.235,0.342,0.279,0.243
0.195,0.21,0.213,0.246,0.201,0.262,0.266,0.23,0.216,0.332,0.177,0.256
0.205,0.193,0.218,0.201,0.206,0.215,0.32,0.195,0.218,0.265,0.192,0.201
0.194,0.199,0.272,0.287,0.274,0.284,0.268,0.312,0.315,0.435,0.344,0.332
0.235,0.282,0.21,0.258,0.299,0.387,0.249,0.252,0.258,0.36,0.308,0.41
0.181,0.231,0.2,0.226,0.261,0.225,0.204,0.255,0.275,0.198,0.203,0.223
0.158,0.204,0.189,0.217,0.209,0.254,0.243,0.262,0.248,0.242,0.232,0.328
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.136,0.144,0.163,0.173,0.159,0.195,0.166,0.177,0.202,0.233,0.252,0.219
0.163,0.138,0.147,0.18,0.175,0.21,0.175,0.188,0.199,0.265,0.229,0.219
0.154,0.173,0.172,0.191,0.163,0.194,0.193,0.19,0.181,0.245,0.146,0.214
0.168,0.16,0.178,0.167,0.168,0.177,0.198,0.165,0.19,0.208,0.159,0.175
0.161,0.165,0.226,0.237,0.229,0.238,0.223,0.266,0.271,0.345,0.282,0.274
0.186,0.179,0.171,0.215,0.186,0.199,0.22,0.217,0.223,0.285,0.237,0.3
0.147,0.19,0.165,0.189,0.217,0.187,0.173,0.213,0.228,0.157,0.169,0.173
0.133,0.169,0.156,0.181,0.18,0.217,0.211,0.229,0.218,0.189,0.209,0.285
