Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 5ÔÂ 19 2018 11:16,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 2,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 37 / 12 / 47,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.255,0.399,1.095,0.667,0.281,0.37,0.261,0.276,0.264,1.886,1.939,0.245
0.267,0.254,0.516,0.282,0.26,1.585,0.34,0.262,0.757,1.803,0.641,0.268
1.048,0.932,1.012,0.6,0.305,0.443,0.754,0.615,0.732,2.273,0.328,0.204
0.512,0.757,0.262,0.247,0.46,0.828,0.851,0.218,0.574,1.233,1.491,0.127
0.241,0.305,1.168,0.343,0.642,0.925,0.676,0.635,0.336,2.163,1.298,0.947
0.283,1.071,0.816,0.838,0.874,0.602,0.93,0.806,0.661,2.316,1.974,2.08
0.254,0.555,0.269,0.651,0.712,0.382,0.279,0.34,0.42,0.157,0.854,0.16
0.326,0.853,0.26,0.362,0.219,0.376,0.344,0.541,0.343,0.195,0.131,0.168
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.193,0.213,0.615,0.47,0.211,0.213,0.197,0.208,0.201,1.052,1.291,0.182
0.202,0.193,0.312,0.214,0.199,0.897,0.238,0.199,0.529,1.188,0.407,0.208
0.681,0.574,0.631,0.307,0.186,0.196,0.387,0.364,0.53,1.496,0.231,0.107
0.362,0.563,0.197,0.186,0.314,0.459,0.4,0.171,0.361,0.72,0.907,0.095
0.184,0.23,0.863,0.255,0.454,0.63,0.47,0.463,0.247,1.339,0.812,0.534
0.211,0.595,0.469,0.578,0.429,0.176,0.663,0.51,0.476,1.387,1.246,1.142
0.195,0.422,0.204,0.437,0.548,0.283,0.214,0.218,0.312,0.116,0.295,0.128
0.254,0.614,0.199,0.276,0.169,0.265,0.261,0.382,0.255,0.11,0.104,0.127
