Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 8ÔÂ 31 2018 09:26,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 27 / 8 / 61,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.28,0.293,0.292,0.272,0.273,0.299,0.252,0.266,0.255,1.987,2.04,2.017
0.271,0.26,0.252,0.267,0.267,0.303,0.263,0.26,0.257,2.123,0.489,0.247
0.979,0.442,0.445,0.292,0.313,0.32,0.311,0.255,0.293,2.476,0.265,0.202
0.302,0.272,0.254,0.255,0.429,0.283,0.364,0.238,0.21,1.443,1.988,0.135
0.264,0.275,0.843,0.532,0.814,0.836,0.859,0.754,0.298,1.947,1.576,2.13
0.307,0.798,0.59,0.729,0.54,0.431,0.937,0.846,0.637,2.003,3.188,2.629
0.279,0.429,0.297,0.936,0.673,0.378,0.242,0.66,0.375,0.157,0.458,0.34
0.335,1.099,0.226,0.474,0.208,0.292,0.586,0.446,0.288,0.358,0.129,0.218
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.207,0.21,0.212,0.202,0.202,0.192,0.188,0.196,0.189,1.132,1.189,1.217
0.202,0.195,0.182,0.198,0.198,0.219,0.196,0.193,0.193,1.355,0.327,0.174
0.709,0.254,0.249,0.182,0.219,0.18,0.179,0.176,0.213,1.671,0.179,0.123
0.227,0.203,0.189,0.189,0.304,0.206,0.187,0.181,0.149,0.783,1.131,0.097
0.196,0.209,0.594,0.366,0.584,0.594,0.532,0.532,0.219,1.071,0.959,1.296
0.225,0.472,0.365,0.537,0.314,0.159,0.675,0.565,0.457,1.136,1.527,1.362
0.21,0.319,0.22,0.7,0.46,0.275,0.183,0.448,0.275,0.111,0.192,0.199
0.257,0.819,0.173,0.358,0.16,0.225,0.428,0.33,0.213,0.184,0.097,0.165
