Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 00:25,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 22 / 15 / 59,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.192,0.279,0.298,0.285,0.215,0.256,0.161,0.177,0.175,0.553,0.413,0.284
0.182,0.203,0.282,0.217,0.197,0.337,0.201,0.193,0.282,0.472,0.367,0.283
0.34,0.341,0.383,0.284,0.211,0.203,0.304,0.259,0.227,0.343,0.27,0.189
0.26,0.313,0.208,0.199,0.239,0.392,0.408,0.2,0.241,0.496,0.526,0.144
0.198,0.241,0.211,0.21,0.199,0.216,0.208,0.207,0.221,0.502,0.136,0.48
0.286,0.377,0.302,0.357,0.325,0.261,0.238,0.206,0.2,0.789,1.62,0.578
0.181,0.247,0.213,0.219,0.198,0.221,0.193,0.196,0.184,0.264,0.405,0.143
0.212,0.215,0.207,0.207,0.176,0.233,0.196,0.229,0.186,0.598,0.229,0.186
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.154,0.192,0.232,0.221,0.175,0.174,0.131,0.142,0.139,0.365,0.278,0.205
0.149,0.167,0.189,0.179,0.162,0.255,0.16,0.158,0.218,0.323,0.276,0.209
0.239,0.235,0.257,0.183,0.167,0.164,0.178,0.171,0.183,0.225,0.191,0.115
0.197,0.239,0.168,0.161,0.192,0.287,0.235,0.166,0.191,0.329,0.354,0.107
0.163,0.194,0.174,0.174,0.167,0.179,0.172,0.169,0.179,0.344,0.105,0.321
0.221,0.241,0.21,0.28,0.208,0.176,0.196,0.173,0.166,0.337,0.852,0.313
0.148,0.195,0.174,0.178,0.162,0.177,0.159,0.162,0.153,0.177,0.266,0.108
0.175,0.176,0.174,0.175,0.151,0.189,0.163,0.183,0.156,0.283,0.164,0.146
