Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 5ÔÂ 18 2018 23:55,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 5 / 15 / 76,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.165,0.179,0.194,0.194,0.165,0.182,0.163,0.172,0.155,0.265,0.197,0.129
0.155,0.157,0.173,0.156,0.159,0.212,0.163,0.156,0.211,0.215,0.151,0.174
0.194,0.207,0.214,0.199,0.167,0.175,0.205,0.174,0.159,0.187,0.13,0.126
0.179,0.195,0.163,0.164,0.161,0.224,0.155,0.176,0.166,0.193,0.246,0.122
0.185,0.166,0.161,0.168,0.192,0.177,0.167,0.184,0.176,0.24,0.131,0.25
0.207,0.264,0.215,0.215,0.244,0.228,0.177,0.159,0.177,0.227,0.274,0.332
0.176,0.188,0.172,0.17,0.153,0.174,0.173,0.178,0.154,0.139,0.149,0.125
0.143,0.161,0.176,0.155,0.139,0.193,0.167,0.172,0.147,0.158,0.087,0.124
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.133,0.145,0.154,0.154,0.135,0.14,0.133,0.138,0.126,0.192,0.149,0.106
0.127,0.129,0.133,0.128,0.129,0.169,0.133,0.127,0.167,0.159,0.116,0.153
0.155,0.156,0.157,0.138,0.13,0.13,0.135,0.129,0.131,0.139,0.103,0.102
0.144,0.155,0.131,0.132,0.131,0.175,0.097,0.14,0.132,0.147,0.184,0.096
0.15,0.135,0.138,0.137,0.156,0.144,0.136,0.15,0.142,0.177,0.106,0.184
0.162,0.165,0.155,0.17,0.146,0.128,0.141,0.128,0.143,0.156,0.2,0.217
0.148,0.152,0.139,0.14,0.126,0.14,0.14,0.146,0.126,0.111,0.124,0.1
0.116,0.129,0.145,0.126,0.115,0.16,0.136,0.141,0.121,0.111,0.08,0.115
