Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 4ÔÂ 27 2018 10:35,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : PP-EC,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : 16h,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 59 / 6 / 31,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.203,0.351,1.685,1.111,0.21,0.278,0.196,0.213,0.196,2.265,2.314,2.533
0.198,0.18,0.442,0.234,0.203,1.496,0.252,0.207,1.571,2.338,1.635,0.764
2.137,1.617,1.428,0.792,0.228,0.483,1.262,0.937,1.435,2.534,1.999,0.383
0.722,1.693,0.188,0.182,0.598,1.103,1.177,0.194,1.337,1.891,2.469,0.168
0.177,0.257,0.882,0.963,0.73,0.782,1.494,1.277,0.541,2.34,1.396,2.364
0.212,1.666,1.143,1.735,1.735,0.714,1.46,1.101,1.388,2.485,2.329,3.525
0.188,0.662,0.224,0.886,0.836,0.418,0.204,0.771,0.345,1.659,0.752,0.825
0.23,1.277,0.15,0.796,0.236,0.243,0.79,0.567,0.303,0.043,0.112,0.699
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.148,0.183,0.805,0.654,0.152,0.159,0.141,0.151,0.142,1.233,1.29,1.56
0.143,0.131,0.192,0.168,0.146,0.642,0.172,0.15,0.852,1.436,0.837,0.277
1.187,0.783,0.713,0.295,0.13,0.143,0.565,0.432,0.911,1.537,1.05,0.072
0.378,0.837,0.135,0.131,0.333,0.408,0.381,0.142,0.8,0.932,1.517,0.093
0.129,0.186,0.457,0.55,0.356,0.399,0.868,0.682,0.297,1.312,0.693,1.298
0.152,0.81,0.359,0.856,0.831,0.136,0.825,0.602,0.829,1.31,1.293,1.935
0.137,0.46,0.161,0.432,0.385,0.263,0.149,0.342,0.253,0.796,0.143,0.184
0.169,0.76,0.11,0.587,0.148,0.169,0.441,0.265,0.201,0.039,0.084,0.527
