Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 08:22,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 15 / 16 / 65,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.315,0.491,0.514,0.505,0.304,0.378,0.288,0.309,0.277,0.97,0.685,0.423
0.327,0.325,0.462,0.336,0.303,0.604,0.357,0.306,0.473,0.772,0.636,0.448
0.634,0.593,0.712,0.453,0.392,0.289,0.47,0.369,0.445,0.704,0.587,0.215
0.518,0.524,0.354,0.333,0.451,0.728,0.646,0.298,0.48,0.898,0.909,0.236
0.334,0.507,0.366,0.345,0.322,0.333,0.317,0.31,0.374,0.888,0.375,0.804
0.398,0.658,0.561,0.555,0.57,0.429,0.384,0.311,0.351,1.291,2.851,1.063
0.307,0.417,0.353,0.424,0.298,0.354,0.307,0.318,0.298,0.559,0.954,0.233
0.323,0.333,0.317,0.323,0.294,0.349,0.321,0.385,0.306,0.876,0.443,0.251
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.283,0.325,0.406,0.382,0.266,0.278,0.25,0.257,0.241,0.519,0.452,0.294
0.293,0.293,0.332,0.295,0.266,0.453,0.287,0.267,0.374,0.443,0.421,0.271
0.446,0.414,0.437,0.325,0.281,0.247,0.284,0.267,0.346,0.402,0.388,0.135
0.416,0.411,0.314,0.295,0.336,0.426,0.399,0.267,0.354,0.475,0.523,0.194
0.301,0.351,0.322,0.308,0.29,0.295,0.278,0.273,0.301,0.479,0.303,0.45
0.337,0.403,0.375,0.426,0.324,0.271,0.32,0.274,0.3,0.503,1.42,0.564
0.277,0.35,0.311,0.306,0.265,0.303,0.27,0.282,0.268,0.285,0.399,0.201
0.285,0.294,0.282,0.289,0.266,0.303,0.288,0.307,0.273,0.3,0.307,0.209
