Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 8ÔÂ 31 2018 09:31,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 4,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 28 / 6 / 62,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.342,0.337,0.306,0.284,0.277,0.408,0.321,0.284,0.318,1.946,1.985,1.869
0.28,0.262,0.259,0.259,0.259,0.281,0.264,0.268,0.255,2.047,0.457,0.271
0.993,0.456,0.441,0.285,0.263,0.333,0.319,0.248,0.244,2.283,0.247,0.344
0.295,0.272,0.273,0.26,0.431,0.271,0.39,0.232,0.229,1.462,1.979,0.144
0.254,0.31,0.942,0.641,0.84,0.825,0.947,0.899,0.347,1.922,1.612,1.959
0.321,0.819,0.789,0.808,0.926,0.494,0.972,0.911,0.722,2.008,3.538,2.874
0.426,0.529,0.316,1.049,0.824,0.451,0.265,0.755,0.405,0.187,0.51,0.385
0.575,1.236,0.236,0.71,0.229,0.328,0.661,0.524,0.366,0.564,0.143,0.227
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.25,0.238,0.228,0.212,0.206,0.255,0.237,0.209,0.236,1.174,1.18,1.196
0.208,0.196,0.189,0.194,0.194,0.205,0.198,0.2,0.193,1.317,0.302,0.215
0.722,0.264,0.254,0.182,0.189,0.178,0.181,0.172,0.179,1.498,0.166,0.147
0.222,0.204,0.203,0.194,0.312,0.201,0.189,0.176,0.166,0.797,1.148,0.104
0.19,0.235,0.669,0.435,0.6,0.59,0.601,0.651,0.258,1.077,1.002,1.179
0.237,0.49,0.473,0.605,0.516,0.176,0.707,0.615,0.524,1.15,1.663,1.437
0.312,0.393,0.236,0.801,0.574,0.327,0.201,0.525,0.298,0.127,0.212,0.22
0.441,0.944,0.185,0.539,0.177,0.248,0.483,0.395,0.262,0.297,0.108,0.173
