Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 16:15,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 34 / 6 / 56,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.213,0.384,0.418,0.488,0.208,0.296,0.179,0.196,0.189,1.221,0.841,0.53
0.203,0.208,0.428,0.231,0.202,0.438,0.226,0.208,0.386,0.945,0.714,0.607
0.457,0.507,0.57,0.457,0.201,0.195,0.56,0.371,0.45,0.835,0.683,0.331
0.464,0.362,0.272,0.208,0.394,0.665,0.664,0.187,0.479,1.128,1.112,0.162
0.217,0.527,0.262,0.214,0.198,0.216,0.203,0.204,0.278,1.049,0.361,1.07
0.308,0.654,0.535,0.537,0.573,0.304,0.331,0.204,0.23,1.201,3.47,1.478
0.19,0.321,0.212,0.402,0.198,0.249,0.191,0.197,0.181,0.399,0.957,0.145
0.245,0.23,0.218,0.221,0.188,0.272,0.204,0.306,0.192,0.713,0.518,0.215
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.17,0.2,0.289,0.321,0.162,0.183,0.142,0.153,0.147,0.479,0.365,0.259
0.166,0.166,0.234,0.178,0.158,0.289,0.173,0.163,0.25,0.417,0.403,0.306
0.283,0.297,0.317,0.228,0.153,0.15,0.22,0.181,0.279,0.309,0.295,0.109
0.276,0.251,0.208,0.163,0.194,0.286,0.265,0.149,0.229,0.418,0.454,0.107
0.177,0.22,0.187,0.171,0.162,0.172,0.16,0.16,0.181,0.399,0.194,0.43
0.239,0.326,0.271,0.299,0.275,0.169,0.222,0.166,0.177,0.388,1.579,0.762
0.153,0.226,0.167,0.186,0.155,0.186,0.152,0.156,0.145,0.142,0.302,0.103
0.201,0.186,0.18,0.183,0.159,0.2,0.167,0.189,0.155,0.146,0.258,0.165
